application_id,start_date,completion_date,city
10031467,2018-07-23T20:10:53.606Z,2018-07-23T20:38:06.160Z,Chicago
10031498,2018-07-24T20:02:01.290Z,2018-09-24T22:25:06.672Z,Chicago
10031500,2018-07-24T20:25:30.002Z,2018-07-24T20:47:52.427Z,Chicago
10031503,2018-07-24T22:33:42.891Z,2018-07-24T22:50:00.970Z,Los Angeles
10031505,2018-07-24T23:09:17.066Z,2018-10-07T05:50:39.061Z,Los Angeles
10031515,2018-07-25T06:07:39.983Z,2018-07-25T06:24:52.409Z,Los Angeles
10031523,2018-07-25T17:19:47.445Z,2018-07-25T17:41:31.225Z,Chicago
10031527,2018-07-25T18:21:17.710Z,2018-07-25T18:43:02.343Z,Los Angeles
10031528,2018-07-25T20:30:31.704Z,2018-07-25T20:54:13.709Z,Los Angeles
10031543,2018-07-26T16:41:18.641Z,2018-07-26T17:04:53.442Z,Chicago
10031545,2018-07-26T18:20:32.369Z,2018-07-26T18:45:44.532Z,Chicago
10031551,2018-07-26T20:15:41.818Z,2018-07-26T20:26:47.702Z,Los Angeles
10031553,2018-07-26T21:25:39.803Z,2018-07-27T06:30:00.642Z,Chicago
10031559,2018-07-27T01:07:12.983Z,2019-05-14T12:23:25.549Z,Chicago
10031591,2018-07-28T14:29:45.004Z,,Los Angeles
10031599,2018-07-29T12:53:35.139Z,2018-07-29T13:31:07.734Z,Chicago
10031619,2018-07-30T04:09:22.464Z,2018-07-30T04:25:55.225Z,Chicago
10031629,2018-07-30T20:26:22.977Z,2018-07-30T20:45:23.028Z,Chicago
10031635,2018-07-30T22:30:42.312Z,2018-08-01T12:42:01.330Z,Chicago
10031637,2018-07-31T02:12:44.476Z,2018-07-31T03:40:02.598Z,Los Angeles
10031639,2018-07-31T14:53:50.416Z,2018-07-31T16:32:11.413Z,Chicago
10031666,2018-08-01T16:57:21.314Z,,Chicago
10031679,2018-08-02T17:30:06.936Z,2018-08-02T17:53:54.244Z,Los Angeles
10031707,2018-08-03T19:41:21.032Z,2018-08-03T19:55:15.397Z,Chicago
10031709,2018-08-03T22:03:04.590Z,2019-08-20T22:31:42.023Z,Chicago
10031719,2018-08-04T15:35:12.948Z,2018-08-04T15:46:55.399Z,Los Angeles
10031729,2018-08-04T23:22:14.693Z,2018-08-04T23:33:32.095Z,Los Angeles
10031733,2018-08-05T00:51:57.868Z,2018-08-05T01:18:35.795Z,Los Angeles
10031739,2018-08-05T20:37:18.693Z,2018-08-05T20:51:36.488Z,Chicago
10031741,2018-08-05T23:46:36.842Z,2018-08-06T00:26:59.591Z,Chicago
10031751,2018-08-06T15:37:54.952Z,2018-08-06T16:09:32.996Z,Los Angeles
10031769,2018-08-07T07:44:52.682Z,2018-08-07T07:51:26.683Z,Los Angeles
10031779,2018-08-08T00:11:47.529Z,2018-08-08T00:30:14.494Z,Chicago
10031781,2018-08-08T09:19:40.714Z,2018-08-18T06:58:09.157Z,Los Angeles
10031782,2018-08-08T09:31:10.350Z,2018-08-08T09:54:45.083Z,Los Angeles
10031834,2018-08-11T20:03:54.885Z,2018-08-11T20:14:04.301Z,Chicago
10031838,2018-08-13T02:39:47.016Z,2018-08-13T02:55:46.863Z,Chicago
10031842,2018-08-13T05:13:44.457Z,2018-08-13T05:34:25.571Z,Chicago
10031850,2018-08-13T18:41:22.902Z,,Los Angeles
10031856,2018-08-14T01:41:51.068Z,2018-08-14T02:01:35.088Z,Chicago
10031876,2018-08-15T00:25:55.467Z,2018-08-15T00:50:13.169Z,Los Angeles
10031885,2018-08-15T18:05:06.916Z,2018-08-15T18:25:04.772Z,Los Angeles
10031891,2018-08-15T19:38:03.192Z,2018-08-15T19:57:21.288Z,Chicago
10031932,2018-08-19T04:12:52.056Z,2019-04-13T01:36:20.003Z,Los Angeles
10031934,2018-08-19T12:15:45.790Z,2018-08-19T12:34:03.498Z,Chicago
10031954,2018-08-20T18:04:34.041Z,2019-04-30T10:59:46.727Z,Chicago
10031967,2018-08-21T16:39:01.919Z,2018-08-21T16:56:02.806Z,Chicago
10031989,2018-08-21T23:41:45.851Z,,Los Angeles
10031997,2018-08-22T01:52:55.445Z,2018-08-22T02:09:14.062Z,Los Angeles
10032016,2018-08-22T19:51:35.749Z,2018-08-22T20:15:19.993Z,Los Angeles
10032032,2018-08-23T01:41:24.331Z,2018-12-10T22:09:43.907Z,Los Angeles
10032058,2018-08-23T23:00:23.669Z,2018-08-23T23:14:53.389Z,Chicago
10032063,2018-08-24T09:23:45.258Z,2018-08-24T10:01:28.590Z,Chicago
10032065,2018-08-24T11:21:09.463Z,2018-08-24T11:44:20.868Z,Chicago
10032071,2018-08-24T19:57:07.687Z,2018-10-25T23:54:19.984Z,Chicago
10032137,2018-08-27T22:05:23.695Z,2018-08-27T22:28:12.895Z,Chicago
10032159,2018-08-28T20:31:38.265Z,2018-08-28T20:53:00.296Z,Los Angeles
10032180,2018-08-30T11:09:47.558Z,2018-08-30T11:20:25.862Z,Los Angeles
10032194,2018-08-31T18:31:15.724Z,2018-08-31T19:23:35.518Z,Los Angeles
10032199,2018-09-02T02:09:50.442Z,2018-09-02T05:56:58.451Z,Los Angeles
10032211,2018-09-02T23:47:47.435Z,2018-09-03T00:02:38.957Z,Los Angeles
10032215,2018-09-03T11:38:05.810Z,2018-09-03T11:54:25.257Z,Chicago
10032227,2018-09-04T04:17:51.308Z,2019-04-10T00:47:31.405Z,Los Angeles
10032229,2018-09-04T12:07:54.417Z,,Los Angeles
10032239,2018-09-04T17:53:32.306Z,,Los Angeles
10032249,2018-09-04T18:32:02.071Z,2018-09-04T18:53:10.466Z,Chicago
10032259,2018-09-04T22:54:54.467Z,2018-09-04T23:44:58.925Z,Chicago
10032309,2018-09-08T00:53:08.496Z,2018-09-08T01:07:01.205Z,Chicago
10032311,2018-09-08T03:18:49.423Z,2018-09-08T04:20:26.492Z,Los Angeles
10032331,2018-09-09T17:29:28.495Z,2018-09-09T18:30:24.100Z,Los Angeles
10032333,2018-09-09T18:29:40.698Z,2018-09-09T18:48:48.094Z,Chicago
10032350,2018-09-10T16:46:16.447Z,2018-09-21T01:19:42.427Z,Chicago
10032359,2018-09-11T13:12:36.121Z,2018-09-11T13:29:22.610Z,Chicago
10032379,2018-09-12T16:16:41.700Z,2018-09-12T16:40:04.863Z,Los Angeles
10032382,2018-09-12T16:31:20.983Z,2018-09-18T06:23:41.626Z,Chicago
10032384,2018-09-12T17:44:34.858Z,2018-09-12T18:18:29.305Z,Chicago
10032390,2018-09-12T22:03:09.048Z,2020-01-10T10:41:32.153Z,Chicago
10032402,2018-09-13T16:37:15.389Z,2018-09-27T21:09:04.018Z,Los Angeles
10032405,2018-09-13T18:33:49.208Z,2018-09-13T18:55:34.640Z,Chicago
10032409,2018-09-13T19:46:52.314Z,2018-10-22T18:32:18.960Z,Los Angeles
10032420,2018-09-14T21:00:29.552Z,2018-09-14T22:04:01.899Z,Los Angeles
10032421,2018-09-15T02:38:52.393Z,2018-09-15T03:18:55.272Z,Chicago
10032422,2018-09-15T14:34:24.759Z,2019-01-18T14:39:15.465Z,Chicago
10032424,2018-09-15T19:02:37.678Z,2018-09-15T19:19:51.702Z,Chicago
10032440,2018-09-17T18:01:05.111Z,2018-09-17T19:52:28.208Z,Chicago
10032446,2018-09-17T21:42:58.396Z,2018-09-17T21:57:30.203Z,Chicago
10032448,2018-09-17T21:50:04.771Z,2018-09-17T22:07:51.861Z,Los Angeles
10032471,2018-09-19T02:26:35.530Z,2018-09-19T02:38:05.197Z,Los Angeles
10032473,2018-09-19T03:19:11.889Z,2018-09-19T03:36:34.700Z,Los Angeles
10032474,2018-09-19T04:16:25.288Z,2018-09-19T04:32:40.600Z,Chicago
10032478,2018-09-19T14:45:44.308Z,,Chicago
10032479,2018-09-19T14:50:53.304Z,,Chicago
10032484,2018-09-19T15:09:27.731Z,2018-09-19T15:30:16.222Z,Chicago
10032495,2018-09-19T18:18:46.603Z,,Los Angeles
10032504,2018-09-19T21:44:52.541Z,,Los Angeles
10032505,2018-09-19T22:44:51.047Z,2018-09-19T23:06:28.587Z,Chicago
10032508,2018-09-20T04:59:51.855Z,2018-09-20T05:28:52.335Z,Los Angeles
10032518,2018-09-20T19:23:34.823Z,2018-10-03T19:45:17.044Z,Los Angeles
10032519,2018-09-20T20:03:26.152Z,,Los Angeles
10032524,2018-09-20T22:50:19.851Z,2018-09-20T23:02:28.197Z,Los Angeles
10032525,2018-09-20T23:44:26.180Z,,Chicago
10032526,2018-09-21T02:56:18.133Z,,Chicago
10032527,2018-09-21T05:18:16.604Z,2018-09-21T05:30:40.942Z,Los Angeles
10032530,2018-09-21T17:20:46.421Z,2020-04-04T15:05:28.495Z,Chicago
10032533,2018-09-21T21:57:22.396Z,,Los Angeles
10032534,2018-09-22T00:40:31.041Z,2018-09-22T01:09:07.394Z,Chicago
10032535,2018-09-22T02:04:14.913Z,2018-09-22T02:15:58.446Z,Los Angeles
10032537,2018-09-22T17:15:28.239Z,2018-09-22T17:41:07.607Z,Chicago
10032538,2018-09-22T21:21:21.390Z,2018-09-22T22:52:17.349Z,Los Angeles
10032543,2018-09-23T07:03:31.271Z,2018-09-23T07:14:52.738Z,Chicago
10032544,2018-09-23T18:18:54.118Z,2018-09-23T18:35:28.060Z,Chicago
10032547,2018-09-24T13:54:06.298Z,,Chicago
10032548,2018-09-24T14:40:09.951Z,2018-09-24T15:01:05.667Z,Chicago
10032551,2018-09-24T15:47:25.681Z,,Los Angeles
10032556,2018-09-24T21:57:33.338Z,,Chicago
